County_Name,Avg_Participation_Rate,Avg_College_Ready_Rate,Avg_TSI_Ready_Rate,Num_Districts,County,College_Ready_Category
Ochiltree County,37.3,25.0,33.3,1,OCHILTREE,Moderate (20-30%)
Oldham County,66.85000000000001,30.366666666666664,44.833333333333336,4,OLDHAM,High (30-40%)
Orange County,64.62,10.559999999999999,25.46,5,ORANGE,Low (10-20%)
Palo Pinto County,46.480000000000004,12.35,29.45,5,PALO PINTO,Low (10-20%)
Panola County,67.175,19.424999999999997,20.45,4,PANOLA,Low (10-20%)
Parker County,60.175,20.642857142857142,40.857142857142854,8,PARKER,Moderate (20-30%)
Parmer County,73.475,8.266666666666667,16.96666666666667,4,PARMER,Very Low (<10%)
Pecos County,63.56666666666666,11.0,15.833333333333334,3,PECOS,Low (10-20%)
Polk County,86.14999999999999,4.233333333333333,15.55,6,POLK,Very Low (<10%)
Potter County,73.8,14.933333333333332,25.3,4,POTTER,Low (10-20%)
Presidio County,86.4,8.8,13.6,2,PRESIDIO,Very Low (<10%)
Rains County,30.8,16.7,30.6,1,RAINS,Low (10-20%)
Randall County,95.7,14.2,30.7,1,RANDALL,Low (10-20%)
Reagan County,100.0,7.5,7.5,1,REAGAN,Very Low (<10%)
Real County,72.0,27.8,38.9,1,REAL,Moderate (20-30%)
Red River County,72.35,13.85,20.4,4,RED RIVER,Low (10-20%)
Reeves County,89.35,0.7,2.0,2,REEVES,Very Low (<10%)
Refugio County,64.63333333333334,6.933333333333334,21.433333333333334,3,REFUGIO,Very Low (<10%)
Roberts County,100.0,26.7,26.7,1,ROBERTS,Moderate (20-30%)
Robertson County,53.54,14.575000000000001,30.825,5,ROBERTSON,Low (10-20%)
Rockwall County,89.75,14.7,29.95,2,ROCKWALL,Low (10-20%)
Runnels County,79.075,29.35,23.575,4,RUNNELS,Moderate (20-30%)
Rusk County,63.58571428571428,14.080000000000002,20.75,7,RUSK,Low (10-20%)
Sabine County,46.3,2.9,10.65,2,SABINE,Very Low (<10%)
San Augustine County,29.5,12.65,10.5,2,SAN AUGUSTINE,Low (10-20%)
San Jacinto County,58.2,7.550000000000001,15.55,2,SAN JACINTO,Very Low (<10%)
San Patricio County,77.97142857142856,14.685714285714285,19.814285714285717,7,SAN PATRICIO,Low (10-20%)
San Saba County,91.66666666666667,23.7,20.7,3,SAN SABA,Moderate (20-30%)
Schleicher County,100.0,7.9,18.4,1,SCHLEICHER,Very Low (<10%)
Scurry County,62.53333333333333,20.166666666666668,25.5,3,SCURRY,Moderate (20-30%)
Shackelford County,74.3,11.6,37.2,2,SHACKELFORD,Low (10-20%)
Shelby County,62.14,12.919999999999998,16.72,5,SHELBY,Low (10-20%)
Sherman County,76.3,10.3,24.1,1,SHERMAN,Low (10-20%)
Smith County,58.71,19.91,34.3,10,SMITH,Low (10-20%)
Somervell County,82.0,20.0,33.0,1,SOMERVELL,Moderate (20-30%)
Starr County,28.53333333333333,12.649999999999999,16.35,3,STARR,Low (10-20%)
Stephens County,60.7,8.8,19.1,1,STEPHENS,Very Low (<10%)
Sterling County,88.2,10.0,13.3,1,STERLING,Low (10-20%)
Stonewall County,89.5,23.5,29.4,1,STONEWALL,Moderate (20-30%)
Sutton County,74.5,4.9,7.3,1,SUTTON,Very Low (<10%)
Swisher County,90.46666666666665,11.25,19.099999999999998,3,SWISHER,Low (10-20%)
Tarrant County,87.285,18.884999999999998,31.25,20,TARRANT,Low (10-20%)
Taylor County,74.0,24.6,35.64,6,TAYLOR,Moderate (20-30%)
Terrell County,83.3,20.0,20.0,1,TERRELL,Moderate (20-30%)
Terry County,80.39999999999999,9.350000000000001,11.45,3,TERRY,Very Low (<10%)
Throckmorton County,81.44999999999999,20.85,25.0,2,THROCKMORTON,Moderate (20-30%)
Titus County,53.666666666666664,19.23333333333333,30.566666666666666,3,TITUS,Low (10-20%)
Tom Green County,80.47142857142856,13.185714285714285,21.457142857142856,7,TOM GREEN,Low (10-20%)
Travis County,84.62105263157895,26.61875,38.53684210526316,19,TRAVIS,Moderate (20-30%)
Trinity County,72.2,10.95,24.8,4,TRINITY,Low (10-20%)
Tyler County,57.739999999999995,13.633333333333333,16.98,5,TYLER,Low (10-20%)
Upshur County,63.771428571428565,16.966666666666665,23.285714285714285,7,UPSHUR,Low (10-20%)
Upton County,100.0,9.1,13.6,1,UPTON,Very Low (<10%)
Uvalde County,88.425,15.266666666666666,22.1,4,UVALDE,Low (10-20%)
Val Verde County,53.900000000000006,19.85,44.1,2,VAL VERDE,Low (10-20%)
Van Zandt County,60.675000000000004,13.183333333333332,32.075,8,VAN ZANDT,Low (10-20%)
Victoria County,40.9,8.25,20.55,2,VICTORIA,Very Low (<10%)
Walker County,35.5,20.4,35.7,2,WALKER,Moderate (20-30%)
Waller County,70.2,4.366666666666666,11.333333333333334,3,WALLER,Very Low (<10%)
Ward County,66.95,2.6,11.3,2,WARD,Very Low (<10%)
Washington County,75.95,15.5,28.799999999999997,2,WASHINGTON,Low (10-20%)
Webb County,41.65,16.73333333333333,33.699999999999996,5,WEBB,Low (10-20%)
Wharton County,50.760000000000005,11.3,23.22,5,WHARTON,Low (10-20%)
Wheeler County,47.575,21.75,17.3,4,WHEELER,Moderate (20-30%)
Wichita County,56.279999999999994,22.740000000000002,33.18,5,WICHITA,Moderate (20-30%)
Wilbarger County,94.39999999999999,22.933333333333334,25.599999999999998,3,WILBARGER,Moderate (20-30%)
Willacy County,82.825,2.0,2.9,4,WILLACY,Very Low (<10%)
Williamson County,75.22727272727273,24.372727272727275,41.20909090909091,11,WILLIAMSON,Moderate (20-30%)
Wilson County,76.625,11.125,27.175,4,WILSON,Low (10-20%)
Winkler County,74.65,11.700000000000001,19.799999999999997,2,WINKLER,Low (10-20%)
Wise County,81.38571428571429,12.942857142857145,24.042857142857144,7,WISE,Low (10-20%)
Wood County,55.81666666666666,20.733333333333334,31.849999999999998,6,WOOD,Moderate (20-30%)
Yoakum County,50.9,13.0,12.05,2,YOAKUM,Low (10-20%)
Young County,64.63333333333334,23.5,43.93333333333334,3,YOUNG,Moderate (20-30%)
Zapata County,75.3,1.6,3.2,1,ZAPATA,Very Low (<10%)
Zavala County,59.75,,3.2,2,ZAVALA,No Data
